ano,id_municipio,id_municipio_nome,desmatado
2017,5102504,Cáceres,3408.6
2016,5102504,Cáceres,3375.7
2020,5102504,Cáceres,3503.5
2018,5102504,Cáceres,3458.0
2021,5102504,Cáceres,3530.6
2019,5102504,Cáceres,3478.5
2016,5007935,Sonora,508.7
2017,5007935,Sonora,509.2
2020,5007935,Sonora,518.6
2019,5007935,Sonora,512.1
2018,5007935,Sonora,509.8
2021,5007935,Sonora,533.5
2017,5107602,Rondonópolis,5.9
2018,5107602,Rondonópolis,5.9
2019,5107602,Rondonópolis,5.9
2020,5107602,Rondonópolis,5.9
2021,5107602,Rondonópolis,5.9
2016,5107602,Rondonópolis,5.6
2018,5003306,Coxim,1047.2
2017,5003306,Coxim,1033.8
2021,5003306,Coxim,1072.9
2019,5003306,Coxim,1059.3
2016,5003306,Coxim,1025.4
2020,5003306,Coxim,1065.8
2021,5006903,Porto Murtinho,3663.3
2018,5006903,Porto Murtinho,3555.9
2019,5006903,Porto Murtinho,3597.6
2016,5006903,Porto Murtinho,3499.8
2017,5006903,Porto Murtinho,3536.4
2020,5006903,Porto Murtinho,3624.1
2018,5106505,Poconé,1174.1
2019,5106505,Poconé,1196.0
2016,5106505,Poconé,1120.0
2017,5106505,Poconé,1138.2
2021,5106505,Poconé,1246.8
2020,5106505,Poconé,1226.8
2018,5005202,Ladário,121.2
2020,5005202,Ladário,121.5
2019,5005202,Ladário,121.4
2021,5005202,Ladário,121.9
2016,5005202,Ladário,120.0
2017,5005202,Ladário,120.9
2018,5007406,Rio Verde de Mato Grosso,2696.5
2020,5007406,Rio Verde de Mato Grosso,2811.4
2017,5007406,Rio Verde de Mato Grosso,2648.2
2019,5007406,Rio Verde de Mato Grosso,2738.3
2021,5007406,Rio Verde de Mato Grosso,2856.7
2016,5007406,Rio Verde de Mato Grosso,2593.9
2020,5003207,Corumbá,6915.5
2019,5003207,Corumbá,6581.0
2018,5003207,Corumbá,6345.2
2017,5003207,Corumbá,6174.5
2016,5003207,Corumbá,5889.8
2021,5003207,Corumbá,7430.7
2016,5106109,Nossa Senhora do Livramento,271.6
2020,5106109,Nossa Senhora do Livramento,326.3
2017,5106109,Nossa Senhora do Livramento,300.4
2021,5106109,Nossa Senhora do Livramento,332.4
2018,5106109,Nossa Senhora do Livramento,314.0
2019,5106109,Nossa Senhora do Livramento,318.9
2017,5005608,Miranda,216.5
2019,5005608,Miranda,218.2
2016,5005608,Miranda,213.2
2020,5005608,Miranda,218.9
2021,5005608,Miranda,219.0
2018,5005608,Miranda,217.0
2020,5101605,Barão de Melgaço,1246.5
2021,5101605,Barão de Melgaço,1253.5
2018,5101605,Barão de Melgaço,1195.0
2019,5101605,Barão de Melgaço,1225.4
2017,5101605,Barão de Melgaço,1152.8
2016,5101605,Barão de Melgaço,1072.4
2021,5107800,Santo Antônio do Leverger,2262.4
2020,5107800,Santo Antônio do Leverger,2253.4
2019,5107800,Santo Antônio do Leverger,2232.6
2018,5107800,Santo Antônio do Leverger,2205.6
2017,5107800,Santo Antônio do Leverger,2169.0
2016,5107800,Santo Antônio do Leverger,2130.7
2018,5106828,Porto Esperidião,548.8
2016,5106828,Porto Esperidião,543.3
2017,5106828,Porto Esperidião,546.1
2021,5106828,Porto Esperidião,564.0
2020,5106828,Porto Esperidião,559.5
2019,5106828,Porto Esperidião,554.6
2016,5105234,Lambari D'Oeste,7.0
2018,5105234,Lambari D'Oeste,7.0
2017,5105234,Lambari D'Oeste,7.0
2021,5105234,Lambari D'Oeste,7.0
2019,5105234,Lambari D'Oeste,7.0
2020,5105234,Lambari D'Oeste,7.0
2017,5103437,Curvelândia,25.5
2018,5103437,Curvelândia,25.5
2020,5103437,Curvelândia,25.5
2021,5103437,Curvelândia,25.5
2016,5103437,Curvelândia,25.5
2019,5103437,Curvelândia,25.5
2020,5105200,Juscimeira,1.2
2017,5105200,Juscimeira,1.2
2019,5105200,Juscimeira,1.2
2018,5105200,Juscimeira,1.2
2021,5105200,Juscimeira,1.2
2016,5105200,Juscimeira,1.2
2018,5002159,Bodoquena,4.9
2019,5002159,Bodoquena,4.9
2016,5002159,Bodoquena,4.9
2017,5002159,Bodoquena,4.9
2020,5002159,Bodoquena,4.9
2021,5002159,Bodoquena,4.9
2020,5105622,Mirassol d'Oeste,31.6
2016,5105622,Mirassol d'Oeste,31.6
2019,5105622,Mirassol d'Oeste,31.6
2021,5105622,Mirassol d'Oeste,31.6
2018,5105622,Mirassol d'Oeste,31.6
2017,5105622,Mirassol d'Oeste,31.6
2019,5103957,Glória D'Oeste,2.7
2017,5103957,Glória D'Oeste,2.7
2018,5103957,Glória D'Oeste,2.7
2016,5103957,Glória D'Oeste,2.7
2020,5103957,Glória D'Oeste,2.7
2021,5103957,Glória D'Oeste,2.7
2017,5001102,Aquidauana,2999.0
2021,5001102,Aquidauana,3352.5
2020,5001102,Aquidauana,3227.1
2016,5001102,Aquidauana,2905.2
2019,5001102,Aquidauana,3110.3
2018,5001102,Aquidauana,3050.1
2019,5104609,Itiquira,354.1
2017,5104609,Itiquira,331.8
2021,5104609,Itiquira,360.2
2016,5104609,Itiquira,304.3
2018,5104609,Itiquira,345.5
2020,5104609,Itiquira,357.1
2017,4308904,Getúlio Vargas,0.0
2019,4308904,Getúlio Vargas,0.0
2018,4308904,Getúlio Vargas,0.0
2020,4308904,Getúlio Vargas,0.0
2016,4308904,Getúlio Vargas,0.0
2021,4308904,Getúlio Vargas,0.0
2016,4310462,Ipiranga do Sul,141.1
2019,4310462,Ipiranga do Sul,141.1
2020,4310462,Ipiranga do Sul,141.1
2018,4310462,Ipiranga do Sul,141.1
2017,4310462,Ipiranga do Sul,141.1
2021,4310462,Ipiranga do Sul,141.1
2018,4322202,Tupanciretã,1741.9
2020,4322202,Tupanciretã,1762.9
2019,4322202,Tupanciretã,1747.7
2016,4322202,Tupanciretã,1728.6
2017,4322202,Tupanciretã,1731.7
2021,4322202,Tupanciretã,1770.6
2017,4319406,São Pedro do Sul,293.4
2019,4319406,São Pedro do Sul,314.8
2018,4319406,São Pedro do Sul,302.8
2016,4319406,São Pedro do Sul,286.2
2021,4319406,São Pedro do Sul,343.8
2020,4319406,São Pedro do Sul,324.4
2018,4310009,Ibirubá,217.3
2019,4310009,Ibirubá,217.3
2020,4310009,Ibirubá,217.3
2021,4310009,Ibirubá,217.3
2017,4310009,Ibirubá,217.3
2016,4310009,Ibirubá,217.3
2017,4305850,Coqueiros do Sul,127.7
2019,4305850,Coqueiros do Sul,127.7
2018,4305850,Coqueiros do Sul,127.7
2016,4305850,Coqueiros do Sul,127.7
2020,4305850,Coqueiros do Sul,127.7
2021,4305850,Coqueiros do Sul,127.7
2020,4313037,Nova Esperança do Sul,64.4
2016,4313037,Nova Esperança do Sul,62.0
2019,4313037,Nova Esperança do Sul,63.9
2021,4313037,Nova Esperança do Sul,65.9
2018,4313037,Nova Esperança do Sul,63.2
2017,4313037,Nova Esperança do Sul,62.7
2017,4310603,Itaqui,2565.3
2018,4310603,Itaqui,2586.5
2019,4310603,Itaqui,2594.2
2016,4310603,Itaqui,2550.2
2021,4310603,Itaqui,2646.1
2020,4310603,Itaqui,2613.0
2017,4307005,Erechim,7.3
2019,4307005,Erechim,7.3
2021,4307005,Erechim,7.3
2020,4307005,Erechim,7.3
2018,4307005,Erechim,7.3
2016,4307005,Erechim,7.3
2018,4321956,Trindade do Sul,105.6
2021,4321956,Trindade do Sul,105.6
2016,4321956,Trindade do Sul,105.6
2020,4321956,Trindade do Sul,105.6
2019,4321956,Trindade do Sul,105.6
2017,4321956,Trindade do Sul,105.6
2019,4305405,Chiapetta,323.0
2018,4305405,Chiapetta,323.0
2017,4305405,Chiapetta,322.8
2016,4305405,Chiapetta,322.8
2021,4305405,Chiapetta,323.1
2020,4305405,Chiapetta,323.1
2020,4301875,Barra do Quaraí,816.1
2019,4301875,Barra do Quaraí,813.1
2021,4301875,Barra do Quaraí,826.7
2016,4301875,Barra do Quaraí,804.3
2017,4301875,Barra do Quaraí,807.7
2018,4301875,Barra do Quaraí,810.6
2017,4320321,Senador Salgado Filho,133.0
2018,4320321,Senador Salgado Filho,133.1
2019,4320321,Senador Salgado Filho,133.1
2016,4320321,Senador Salgado Filho,133.0
2020,4320321,Senador Salgado Filho,133.2
2021,4320321,Senador Salgado Filho,133.2
2019,4315958,Rolador,126.8
2021,4315958,Rolador,127.3
2018,4315958,Rolador,126.8
2017,4315958,Rolador,126.5
2016,4315958,Rolador,126.3
2020,4315958,Rolador,127.0
2017,4311205,Júlio de Castilhos,1303.6
2016,4311205,Júlio de Castilhos,1297.5
2018,4311205,Júlio de Castilhos,1316.2
2019,4311205,Júlio de Castilhos,1329.8
2020,4311205,Júlio de Castilhos,1342.9
2021,4311205,Júlio de Castilhos,1353.1
2017,4317301,Santa Vitória do Palmar,3064.5
2018,4317301,Santa Vitória do Palmar,3067.9
2019,4317301,Santa Vitória do Palmar,3068.8
2021,4317301,Santa Vitória do Palmar,3082.1
2016,4317301,Santa Vitória do Palmar,3062.6
2020,4317301,Santa Vitória do Palmar,3079.4
2019,4316907,Santa Maria,982.6
2020,4316907,Santa Maria,1007.3
2021,4316907,Santa Maria,1030.3
2016,4316907,Santa Maria,948.5
2018,4316907,Santa Maria,969.6
2017,4316907,Santa Maria,963.6
2020,4307054,Ernestina,132.5
2021,4307054,Ernestina,132.6
2019,4307054,Ernestina,132.5
2017,4307054,Ernestina,132.5
2018,4307054,Ernestina,132.5
2016,4307054,Ernestina,132.4
2020,4306106,Cruz Alta,1026.9
2017,4306106,Cruz Alta,1018.0
2016,4306106,Cruz Alta,1016.3
2019,4306106,Cruz Alta,1025.4
2021,4306106,Cruz Alta,1028.1
2018,4306106,Cruz Alta,1023.3
2018,4305009,Catuípe,248.2
2017,4305009,Catuípe,248.2
2016,4305009,Catuípe,248.2
2019,4305009,Catuípe,248.2
2021,4305009,Catuípe,248.5
2020,4305009,Catuípe,248.3
2016,4310538,Itaara,30.6
2017,4310538,Itaara,30.6
2021,4310538,Itaara,30.7
2019,4310538,Itaara,30.6
2018,4310538,Itaara,30.6
2020,4310538,Itaara,30.7
2017,4317806,Santo Augusto,258.2
2020,4317806,Santo Augusto,258.2
2016,4317806,Santo Augusto,258.2
