Ano,CDMunicipio,Populacao,PessoalOcupado,PessoalAssalariado,VrSalarios,PIB,QtEmpresas,AreaPlantada_h,AreaColhida_h,VlProducaoAgricola,VlProducaoPecuaria,Area,Importacoes_US$,Exportacoes_US$,Receitas_R$,Transferencias_correntes_R$,Transferencias_capital_R$,NrNascimentos,NrObitosInfantis,povoamento,UF,Municipio,Regiao,PIB_PerCapita,Densidade_Populacional,Proporcao_PessoalAssalariado,Proporcao_Area_Plantada
2020,3159605,43753.0,14744,12698,404271,1661271,1492,70,70,330,580,353.0,9013720.0,94350230.0,0.0,98888608.3,2123569.59,4720,30,123.946,MG,Santa Rita do Sapucaí,Sudeste,37.96930496194547,123.94617563739376,0.8612316874660879,0.1983002832861189
2017,3529401,462005.0,60746,52279,1970864,16515697,6341,0,0,0,110,61.3,184592685.0,323570806.0,1031417762.769,627331273.53,11834463.95,5729,520,7536.786,SP,Mauá,Sudeste,35.74787502299759,7536.78629690049,0.8606163368781483,0.0
2016,4304606,342634.0,85149,69655,2409156,20133836,11222,0,0,20,450,131.1,367935649.0,870528410.0,1614501822.461,1027483903.47,26867234.87,5205,530,2613.532,RS,Canoas,Sul,58.761932557773015,2613.531655225019,0.8180366181634546,0.0
2016,2202208,46031.0,4322,3641,66310,521524,5340,40,40,50,50,1675.7,16030204.0,41643.0,119649805.093,85283495.64,3225642.91,5600,100,27.47,PI,Campo Maior,Nordeste,11.329842931937172,27.469714149310736,0.8424340583063397,0.0238706212329175
2020,3120904,80616.0,18026,15312,312494,1942185,1921,30,30,280,40,3298.8,24331027.0,469861.0,0.0,206904078.21,1052039.86,9480,100,24.438,MG,Curvelo,Sudeste,24.09180559690384,24.437977446344124,0.8494396982136914,0.009094216078574
2021,5102504,95339.0,13501,11247,561053,0,1725,940,940,670,210,24351.4,15678661.0,200004.0,0.0,199258767.08,2524603.09,1484,210,3.915,MT,Cáceres,Centro-Oeste,0.0,3.9151342427950753,0.8330494037478705,0.0386014767118112
2019,3145901,39500.0,13087,11294,591793,4183473,1363,0,0,70,40,258.7,215130049.0,376924157.0,153590691.091,105158399.0,771144.55,5510,60,152.687,MG,Ouro Branco,Sudeste,105.9107088607595,152.6865094704291,0.8629938106517918,0.0
2017,4115705,33450.0,9082,6660,149679,746112,1527,190,190,0,0,117.7,0.0,196384.0,147424734.1,56591905.6,2866526.58,4830,100,284.197,PR,Matinhos,Sul,22.305291479820628,284.19711129991504,0.7333186522792337,1.6142735768903993
2016,3204203,21030.0,2830,2168,50981,348796,5180,0,0,40,0,74.6,19391.0,0.0,84321390.062,63360774.82,859691.37,2910,60,281.903,ES,Piúma,Sudeste,16.58563956252972,281.9034852546917,0.7660777385159011,0.0
2017,2700300,234185.0,38013,33000,631370,4104162,402,70,70,140,620,356.2,1734921.0,9159394.0,631213753.872,471822815.96,5336455.04,395,420,657.454,AL,Arapiraca,Nordeste,17.525298375216174,657.4536777091522,0.868124062820614,0.1965188096574958
2019,3102605,41077.0,10332,8256,209090,1004580,1245,80,80,620,270,469.4,24548119.0,5429723.0,117443478.441,79860780.74,1155767.62,4680,70,87.51,MG,Andradas,Sudeste,24.456021617937044,87.50958670643375,0.7990708478513356,0.1704303365999148
