Ano,UF,Valor
2016,AC,"5,58"
2016,AP,"55,43"
2016,AM,"1,33"
2016,PA,"0,66"
2016,RO,"4,96"
2016,RR,"0,00"
2016,TO,"0,10"
2016,AL,"8,16"
2016,BA,"1,78"
2016,CE,"6,45"
2016,MA,"7,30"
2016,PB,"4,36"
2016,PE,"2,47"
2016,PI,"9,58"
2016,RN,"3,74"
2016,SE,"7,47"
2016,ES,"2,60"
2016,MG,"1,56"
2016,RJ,"1,03"
2016,SP,"0,75"
2016,PR,"0,18"
2016,RS,"1,61"
2016,SC,"1,74"
2016,DF,"2,64"
2016,GO,"2,35"
2016,MT,"0,86"
2016,MS,"0,04"
2017,AC,"5,34"
2017,AP,"44,00"
2017,AM,"1,42"
2017,PA,"1,84"
2017,RO,"2,17"
2017,RR,"0,00"
2017,TO,"0,03"
2017,AL,"7,37"
2017,BA,"1,42"
2017,CE,"6,33"
2017,MA,"7,14"
2017,PB,"4,93"
2017,PE,"0,85"
2017,PI,"7,74"
2017,RN,"3,82"
2017,SE,"4,39"
2017,ES,"1,85"
2017,MG,"1,75"
2017,RJ,"3,08"
2017,SP,"2,92"
2017,PR,"0,17"
2017,RS,"1,53"
2017,SC,"2,49"
2017,DF,"1,95"
2017,GO,"1,46"
2017,MT,"0,98"
2017,MS,"0,6"
2018,AC,"5,34"
2018,AP,44
2018,AM,"1,42"
2018,PA,"1,84"
2018,RO,"2,17"
2018,RR,0
2018,TO,"0,03"
2018,AL,"7,37"
2018,BA,"1,42"
2018,CE,"6,33"
2018,MA,"7,14"
2018,PB,"4,93"
2018,PE,"0,85"
2018,PI,"7,74"
2018,RN,"3,82"
2018,SE,"4,39"
2018,ES,"1,85"
2018,MG,"1,75"
2018,RJ,"3,08"
2018,SP,"2,92"
2018,PR,"0,17"
2018,RS,"1,53"
2018,SC,"2,49"
2018,DF,"1,95"
2018,GO,"1,46"
2018,MT,"0,98"
2018,MS,"0,6"
2019,AC,"7,99"
2019,AP,"27,85"
2019,AM,"1,28"
2019,PA,"2,35"
2019,RO,"7,99"
2019,RR,0
2019,TO,"0,14"
2019,AL,"9,87"
2019,BA,"1,41"
2019,CE,"5,43"
2019,MA,"4,57"
2019,PB,"4,97"
2019,PE,"0,53"
2019,PI,"4,41"
2019,RN,"3,67"
2019,SE,"3,33"
2019,ES,"1,28"
2019,MG,"1,21"
2019,RJ,"5,01"
2019,SP,"3,16"
2019,PR,"0,11"
2019,RS,"1,61"
2019,SC,"2,11"
2019,DF,"1,59"
2019,GO,"1,58"
2019,MT,"0,81"
2019,MS,"0,47"
2020,AC,"5,69"
2020,AP,0
2020,AM,"1,45"
2020,PA,"4,35"
2020,RO,"2,41"
2020,RR,0
2020,TO,"1,17"
2020,AL,"9,69"
2020,BA,"0,7"
2020,CE,"4,8"
2020,MA,"30,9"
2020,PB,"5,49"
2020,PE,"0,72"
2020,PI,"3,97"
2020,RN,"2,28"
2020,SE,"2,67"
2020,ES,"1,55"
2020,MG,"1,34"
2020,RJ,"3,99"
2020,SP,"2,89"
2020,PR,"0,24"
2020,RS,"1,4"
2020,SC,"1,53"
2020,DF,"1,5"
2020,GO,"1,21"
2020,MT,"0,71"
2020,MS,"0,62"
2021,AC,"5,51"
2021,AP,45
2021,AM,1
2021,PA,"4,52"
2021,RO,"0,69"
2021,RR,0
2021,TO,"1,66"
2021,AL,"11,42"
2021,BA,"1,02"
2021,CE,"2,86"
2021,MA,"6,43"
2021,PB,"7,34"
2021,PE,"0,63"
2021,PI,"14,71"
2021,RN,"2,08"
2021,SE,"2,9"
2021,ES,"1,8"
2021,MG,"1,07"
2021,RJ,"4,03"
2021,SP,1
2021,PR,"0,58"
2021,RS,"1,32"
2021,SC,"1,48"
2021,DF,"0,9"
2021,GO,"1,38"
2021,MT,"4,03"
2021,MS,"0,75"
