Ano,UF,coliformes, turbidez,cloro
2016,AC,"5,58","26,96","0,45"
2016,AP,"55,43","66,19","12,11"
2016,AM,"1,33","2,24","2,41"
2016,PA,"0,66","2,83","3,75"
2016,RO,"4,96","14,73","3,82"
2016,RR,"0,00","0,91","6,93"
2016,TO,"0,10","0,08","0,09"
2016,AL,"8,16","5,98","6,74"
2016,BA,"1,78","1,79","0,86"
2016,CE,"6,45","66,28","0,80"
2016,MA,"7,30","2,90","7,76"
2016,PB,"4,36","14,66","11,63"
2016,PE,"2,47","7,15","3,10"
2016,PI,"9,58","9,65","3,74"
2016,RN,"3,74","9,46","8,29"
2016,SE,"7,47","13,85","13,08"
2016,ES,"2,60","0,46","0,66"
2016,MG,"1,56","5,56","1,14"
2016,RJ,"1,03","1,45","0,58"
2016,SP,"0,75","2,57","1,42"
2016,PR,"0,18","0,30","0,15"
2016,RS,"1,61","0,52","2,52"
2016,SC,"1,74","1,53","0,96"
2016,DF,"2,64","5,76","0,59"
2016,GO,"2,35","4,81","2,67"
2016,MT,"0,86","6,81","2,26"
2016,MS,"0,04","0,06","0,31"
2017,AC,"5,34","37,98","0,11"
2017,AP,"44,00","81,89","3,18"
2017,AM,"1,42","3,19","2,15"
2017,PA,"1,84","3,70","4,02"
2017,RO,"2,17","3,69","2,34"
2017,RR,"0,00","0,56","3,62"
2017,TO,"0,03","0,03","0,09"
2017,AL,"7,37","8,07","10,19"
2017,BA,"1,42","2,24","1,34"
2017,CE,"6,33","60,47","0,87"
2017,MA,"7,14","2,50","5,64"
2017,PB,"4,93","9,43","17,58"
2017,PE,"0,85","8,22","2,57"
2017,PI,"7,74","2,85","3,01"
2017,RN,"3,82","58,88","3,10"
2017,SE,"4,39","18,96","9,84"
2017,ES,"1,85","0,29","0,31"
2017,MG,"1,75","4,30","1,26"
2017,RJ,"3,08","5,28","0,37"
2017,SP,"2,92","1,66","1,83"
2017,PR,"0,17","0,26","0,15"
2017,RS,"1,53","0,72","2,35"
2017,SC,"2,49","2,72","2,31"
2017,DF,"1,95","10,12","0,63"
2017,GO,"1,46","4,13","3,12"
2017,MT,"0,98","5,63","2,55"
2017,MS,"0,6","0,84","0,54"
2018,AC,"5,34","49,95","1,16"
2018,AP,44,"75,13","7,89"
2018,AM,"1,42","0,60","1,59"
2018,PA,"1,84","3,95","4,26"
2018,RO,"2,17","5,96","3,30"
2018,RR,0,"0,63","1,74"
2018,TO,"0,03","0,12","0,07"
2018,AL,"7,37","6,95","10,72"
2018,BA,"1,42","3,71","1,75"
2018,CE,"6,33","56,10","1,00"
2018,MA,"7,14","1,90","9,27"
2018,PB,"4,93","9,14","17,28"
2018,PE,"0,85","7,22","1,79"
2018,PI,"7,74","8,21","2,57"
2018,RN,"3,82","49,62","2,10"
2018,SE,"4,39","8,50","4,47"
2018,ES,"1,85","0,21","0,29"
2018,MG,"1,75","4,91","1,13"
2018,RJ,"3,08","4,89","0,38"
2018,SP,"2,92","1,40","2,08"
2018,PR,"0,17","0,83","0,13"
2018,RS,"1,53","0,34","1,96"
2018,SC,"2,49","1,35","1,02"
2018,DF,"1,95","4,01","0,53"
2018,GO,"1,46","4,58","3,44"
2018,MT,"0,98","1,99","1,08"
2018,MS,"0,6","0,19","0,65"
2019,AC,"7,99","57,59","1,44"
2019,AP,"27,85","21,43","6,47"
2019,AM,"1,28","4,94","1,30"
2019,PA,"2,35","3,79","4,59"
2019,RO,"7,99","8,51","3,82"
2019,RR,0,"0,37","1,63"
2019,TO,"0,14","0,09","0,09"
2019,AL,"9,87","6,70","12,61"
2019,BA,"1,41","2,64","2,17"
2019,CE,"5,43","45,43","0,73"
2019,MA,"4,57","1,45","4,59"
2019,PB,"4,97","4,67","19,76"
2019,PE,"0,53","6,66","0,65"
2019,PI,"4,41","2,89","1,84"
2019,RN,"3,67","7,81","8,44"
2019,SE,"3,33","17,55","6,09"
2019,ES,"1,28","0,20","0,20"
2019,MG,"1,21","3,53","0,83"
2019,RJ,"5,01","17,25","0,45"
2019,SP,"3,16","1,23","2,03"
2019,PR,"0,11","0,76","0,70"
2019,RS,"1,61","0,92","1,61"
2019,SC,"2,11","3,57","1,99"
2019,DF,"1,59","10,57","0,48"
2019,GO,"1,58","4,42","4,00"
2019,MT,"0,81","3,69","1,60"
2019,MS,"0,47","0,31","0,73"
2020,AC,"5,69","62,41","0,90"
2020,AP,0,"55,46","2,58"
2020,AM,"1,45","2,65","1,04"
2020,PA,"4,35","2,80","3,63"
2020,RO,"2,41","5,05","1,67"
2020,RR,0,"0,14","0,19"
2020,TO,"1,17","0,10","0,09"
2020,AL,"9,69","6,28","12,68"
2020,BA,"0,7","0,41","0,22"
2020,CE,"4,8","41,78","1,56"
2020,MA,"30,9","19,69","27,89"
2020,PB,"5,49","6,76","19,13"
2020,PE,"0,72","6,31","0,21"
2020,PI,"3,97","3,22","2,69"
2020,RN,"2,28","27,38","3,52"
2020,SE,"2,67","20,32","8,42"
2020,ES,"1,55","0,39","0,31"
2020,MG,"1,34","2,42","0,63"
2020,RJ,"3,99","20,75","1,30"
2020,SP,"2,89","1,66","2,35"
2020,PR,"0,24","0,74","0,84"
2020,RS,"1,4","0,51","1,36"
2020,SC,"1,53","1,11","1,09"
