Município,Região Turística,Domésticos,Internacionais,Estabelecimentos,Empregos,Arrecadação de Impostos,Categoria
Rio Branco,Conheça Rio Branco,4602,26333,30,228,11391318,Município turístico
Arapiraca,REGIÃO DO AGRESTE,215,18948,25,157,3857892,Município turístico
Barra de São Miguel,REGIÃO CAMINHO DAS ÁGUAS ,207,7393,11,218,6328107,Município turístico
Coruripe,REGIÃO CAMINHO DAS ÁGUAS ,311,19859,8,55,342504,Município turístico
Japaratinga,REGIÃO COSTA DOS CORAIS,730,5641,21,679,10443834,Município turístico
Maceió,Grande Maceió,78259,251570,124,2960,94665951,Município turístico
Maragogi,REGIÃO COSTA DOS CORAIS,19347,49274,36,1889,35642489,Município turístico
Piranhas,REGIÃO CÂNIONS DO SÃO FRANCISCO,388,8534,11,69,322325,Município turístico
Porto de Pedras,REGIÃO COSTA DOS CORAIS,188,1635,14,346,3825426,Município turístico
São Miguel dos Milagres,REGIÃO COSTA DOS CORAIS,1248,4802,15,371,3919242,Município turístico
Manaus,Região Capital da Amazônia,88470,70136,85,843,156544168,Município turístico
Macapá,Região Turística Meio do Mundo,5861,14993,32,224,7987657,Município turístico
Alagoinhas,Caminhos do Sertão,467,5641,14,117,2745506,Município turístico
Barreiras,Caminhos do Oeste,1563,58973,29,229,3372306,Município turístico
Bom Jesus da Lapa,Caminhos do Oeste,1002,7376,26,107,596823,Município turístico
Cairu,Costa do Dendê,93253,15082,123,1140,11543061,Município turístico
Camaçari,Costa dos Coqueiros,9774,26601,47,785,15586344,Município turístico
Entre Rios,Costa dos Coqueiros,209,34733,12,106,976519,Município turístico
Feira de Santana,Caminhos do Sertão,4675,94127,45,390,16875181,Município turístico
Ilhéus,Costa do Cacau,9781,65760,55,1049,15774002,Município turístico
Itacaré,Costa do Cacau,17476,35855,57,811,9226961,Município turístico
Jacobina,Chapada Diamantina,849,28846,14,83,1583470,Município turístico
Jequié,Caminhos do Sudoeste,501,132931,19,139,1798155,Município turístico
Lauro de Freitas,Costa dos Coqueiros,1505,8490,16,181,17084477,Município turístico
Lençóis,Chapada Diamantina,22307,11792,21,254,2004912,Município turístico
Maraú,Costa do Cacau,3731,15224,44,379,2510367,Município turístico
Mata de São João,Costa dos Coqueiros,80017,48035,58,5623,99143692,Município turístico
Mucuri,Costa das Baleias,1356,11559,19,93,704710,Município turístico
Porto Seguro,Costa do Descobrimento,64066,164960,318,6439,83241081,Município turístico
Prado,Costa das Baleias,1506,34822,49,286,4446366,Município turístico
Salvador,Baía de Todos os Santos,326169,345439,267,3822,295225948,Município turístico
Santo Amaro,Baía de Todos os Santos,222,22526,5,21,170906,Município turístico
São Desidério,Caminhos do Oeste,0,17172,2,32,583512,Município turístico
Seabra,Chapada Diamantina,46,696,14,61,607567,Município turístico
Simões Filho,Baía de Todos os Santos,106,18404,2,1,3650936,Município turístico
Una,Costa do Cacau,197,10120,4,611,14191962,Município turístico
Valença,Costa do Dendê,1689,28832,27,133,1339306,Município turístico
Vitória da Conquista,Caminhos do Sudoeste,3348,62363,30,294,10977509,Município turístico
Amontada,Rota Costa dos Ventos,3485,5182,9,161,1092650,Município turístico
Aquiraz,Rota das Falésias,3191,26285,26,960,38241740,Município turístico
Aracati,Rota das Falésias,12909,22950,53,220,2446682,Município turístico
Baturité,Serras de Aratanha e Baturité,341,50376,4,14,410751,Município turístico
Beberibe,Rota das Falésias,3072,22094,20,367,5906066,Município turístico
Camocim,Rota das Emoções CE,2314,19491,21,157,735420,Município turístico
Canindé,Sertão Central,0,27375,10,19,455894,Município turístico
Cascavel,Rota das Falésias,846,7899,12,120,1057979,Município turístico
Cruz,Rota das Emoções CE,1058,2340,11,253,4204847,Município turístico
Fortaleza,Fortaleza,142864,308837,163,2797,255759689,Município turístico
Guaramiranga,Serras de Aratanha e Baturité,676,57795,10,64,1126535,Município turístico
Jijoca de Jericoacoara,Rota das Emoções CE,58592,24394,114,1330,19207026,Município turístico
Juazeiro do Norte,Cariri,915,50532,37,319,6300597,Município turístico
São Gonçalo do Amarante,Rota Costa dos Ventos,3928,31349,12,233,7949871,Município turístico
Tianguá,Chapada da Ibiapaba,261,16726,9,77,1075282,Município turístico
Trairi,Rota Costa dos Ventos,3977,5741,14,190,2588041,Município turístico
Brasília,Brasília,112474,178047,220,2346,366708597,Município turístico
Anchieta,Costa e Imigração,448,15835,21,155,1635546,Município turístico
Aracruz,Do Verde e das Águas,810,8551,21,148,4274120,Município turístico
Conceição da Barra,Do Verde e das Águas,993,741,17,60,699855,Município turístico
Domingos Martins,Montanhas Capixabas,281,48168,24,248,7448693,Município turístico
Governador Lindenberg,Doce Pontões Capixaba,233,36904,1,4,18801,Município turístico
Guarapari,Metropolitana,7759,73329,42,388,7222651,Município turístico
Linhares,Do Verde e das Águas,1164,22215,16,177,6471908,Município turístico
Marataízes,Costa e Imigração,839,11046,10,53,817298,Município turístico
Piúma,Costa e Imigração,420,24541,13,12,386790,Município turístico
São Mateus,Do Verde e das Águas,1970,23399,20,137,3626612,Município turístico
São Mateus,Do Verde e das Águas,1970,23399,20,137,3626612,Município turístico
Serra,Metropolitana,1826,12979,22,199,22590390,Município turístico
Vila Velha,Metropolitana,6340,12968,24,225,23741107,Município turístico
Vitória,Metropolitana,55348,140205,31,512,47977775,Município turístico
Abadiânia,Região Turística Encantos do Planalto Central,6752,0,31,8,3847279,Município turístico
Alto Paraíso de Goiás,Região Turística Chapada dos Veadeiros,5534,18786,36,277,3097269,Município turístico
Caldas Novas,Região Turística das Águas Quentes,9963,170125,74,2149,31714654,Município turístico
Goianésia,Região Turística do Ouro,584,5720,20,104,2285949,Município turístico
Jataí,Região Turística Agroecológica,441,907,16,215,4761042,Município turístico
Pirenópolis,Região Turística do Ouro,4412,37610,51,593,9429137,Município turístico
Quirinópolis,Região Turística Lagos do Paranaíba,0,10202,10,61,3969295,Município turístico
Rio Quente,Região Turística das Águas Quentes,220,14597,3,1852,51706073,Município turístico
Rio Verde,Região Turística Agroecológica,2334,22874,32,327,9922252,Município turístico
Trindade,Região Turística dos Negócios e Tradições,544,3059,36,100,1108984,Município turístico
Açailândia,Polo Chapada das Mesas,765,2091,15,112,1096178,Município turístico
Bacabal,Polo Cocais,370,18089,8,67,795878,Município turístico
Balsas,Polo Chapada das Mesas,285,7234,15,195,3163893,Município turístico
Barra do Corda,Polo Serras Guajajara Timbira e Kanela,37,14861,6,28,107143,Município turístico
Barreirinhas,Polo Lençóis & Delta,15456,10320,27,251,2100164,Município turístico
Carolina,Polo Chapada das Mesas,448,16378,8,116,1364952,Município turístico
Caxias,Polo Cocais,402,12236,8,86,1058723,Município turístico
Imperatriz,Polo Chapada das Mesas,5249,41811,29,319,12863231,Município turístico
São Luís,Polo  São Luís,35971,141419,95,1084,57577410,Município turístico
Alfenas,Lago de Furnas,943,10619,15,146,3140958,Município turístico
Andradas,Caminhos Gerais,555,20998,4,18,1250211,Município turístico
